duration,execution_time
5.982,2.3501819567754865
22.1,5.797931295353919
13.27,3.8936551669612527
2.403,1.2394055328331888
17.92,5.307601302862167
0.731,0.6770369461737573
1.62,0.8466698471456766
3.527,1.3778851050883532
12.539,3.185301941819489
12.565,3.67047995980829
13.793,3.7027863319963217
2.273,1.3213951978832483
4.258,1.747210731729865
24.189,6.744772108271718
17.267,4.612201754935086
19.879,4.723010964225978
4.963,1.6421634168364108
5.695,1.8651161841116848
1.698,1.017986198887229
1.202,0.706502459011972
2.691,1.1832872503437102
21.917,6.292482848744839
7.706,2.3795743752270937
7.941,2.740854254923761
12.852,4.251051338389516
25.156,7.211628027725965
1.567,0.9065454951487482
0.836,0.7567250952124596
4.624,1.7841004310175776
3.709,1.4445271659642458
27.847,7.169190405867994
17.737,4.438566152006388
4.31,1.4842163198627532
22.23,5.779768112115562
4.415,1.6085512517020106
4.859,2.1088875010609627
21.133,6.156054669059813
4.624,1.5761069850996137
5.094,1.879224972333759
5.695,1.911842298693955
7.367,2.3948492663912475
9.639,2.729501673951745
18.625,4.742290181107819
19.644,5.030818106140941
3.422,1.4753150311298668
17.267,4.750092799309641
2.038,1.017980185337365
6.687,2.2884874250739813
8.725,2.4825642253272235
10.815,3.2144241859205067
7.654,2.2028032187372446
4.859,1.7201040061190724
25.496,6.027825952973217
20.376,5.219085670076311
22.465,6.357289637904614
22.413,6.1940263831056654
1.384,0.9549515140242876
2.116,1.0349083202891052
18.651,4.879104511812329
12.852,3.777119300328195
1.672,0.8653526059351861
26.645,7.702672172803432
7.784,2.668114645872265
12.617,3.335818995255977
5.799,1.854346367996186
22.047,6.003120718058199
5.982,2.0675229830667377
3.579,1.506973355077207
16.901,4.5018258462660015
5.277,1.871209696866572
16.718,4.470004305709153
7.784,2.661114458926022
5.251,1.867277024313808
8.255,2.361966799944639
4.075,1.5552710480988026
18.834,4.290266941767186
25.678,6.764135076198727
2.534,0.998170766979456
5.669,1.8758826502598824
5.747,1.675269496161491
5.747,1.9890664950944483
16.797,3.8968070717528462
4.598,1.5028526959940791
4.362,1.7114668493159115
25.443,6.539729654788971
14.472,3.954055577050896
24.477,6.472582420799881
3.605,1.5939383627846837
5.277,2.021065100096166
13.401,3.57964128209278
11.05,3.158163697924465
22.57,6.028805567417294
11.886,3.420636103954166
2.821,1.5764973987825217
15.726,4.342327274847776
7.236,2.3448336562141776
16.379,4.062715833075345
11.363,3.200302756857127
0.914,1.3422843888401983
5.669,1.9273518370464444
10.449,3.0908142356202006
0.731,0.6830254890955985
4.023,1.4432854801416397
15.125,3.950816750060767
22.335,5.890776159241796
9.561,3.0553391189314425
21.577,5.802422340027988
16.954,4.389365999959409
2.534,0.986672043800354
11.781,3.915505609009415
15.595,4.323807490058243
11.52,3.125565556809306
4.963,1.7024869048036635
9.979,2.7739695077762008
15.464,4.5217615738511086
16.797,4.474825412966311
17.162,4.433337014168501
6.269,1.973636789713055
20.01,5.24760018568486
10.998,3.674540808890015
11.468,3.5698774810880423
16.718,4.549408452119678
12.957,3.5054407618008554
13.558,3.954094656277448
3.474,1.31104080285877
20.976,6.187290232162923
11.834,3.370999690145254
1.332,0.841132584027946
13.505,3.766982336994261
